"Código";"Descripción";"Categoría";"Tipo";"Clasificación"
"ABDJ20001";"JEAN STRAIGHT";"01";"99";"99"
"ABDJ20021";"JEAN CHUPIN 2 PINZAS PUSH UP LOC.";"01";"99";"12"
"ABDJ20054";"JEAN CHUPIN BLUE ESTATICO";"01";"99";"12"
"ABDJ220046";"JEAN CHUPIN PU CIERRE BOTAMANGA";"01";"99";"12"
"ABIDR10024";"REMERA COLLINS";"99";"99";"99"
"AGA4";"SUPLE NRO.4 (BOLSO DE MANO)";"37";"99";"99"
"AGACP600";"CARPETA CUERO";"99";"99";"99"
"AGACP603";"CARPETA OFICIO CUERO C/CIERRE";"99";"99";"99"
"AGANC2896";"NECESER SIMPLE";"99";"99";"99"
"AGAPT4028";"PORTATERMO RIGIDO GRANDE";"99";"99";"99"
"AGHABOXER1";"BOXER FANTASIA";"32";"02";"99"
"AGHABT100";"BILLETERA CUERO COMBINADO";"41";"99";"99"
"AGHABT1002";"BILLETERA 2 DIV.PORTA TARJ.";"41";"99";"99"
"AGHABT107";"BILLETERA CUERO COMBINADO";"41";"99";"99"
"AGHABT265";"BILLETERA COMB.C/TARJ.";"41";"99";"99"
"AGHABT271";"BILLETERA COMB.C/TARJ.";"41";"99";"99"
"AGHABT273";"BILLETERA COMB.C/TARJ.";"41";"99";"99"
"AGHABT3010";"BILLETERA C/APLIQUE";"41";"99";"99"
"AGHABT3018";"BILLETERA 2 DIV.C/SOLAPA FINA";"41";"99";"99"
"AGHABT4001";"BILLETERA FINA TARJ.DEMT.";"41";"99";"99"
"AGHABT4002";"BILLETERA FINA MEDIANA";"41";"99";"99"
"AGHABT4009";"BILLETERA FINA EURO C/VISOR";"41";"99";"99"
"AGHABT4010";"BILLETERA FINA C/TARJETERO";"41";"99";"99"
"AGHABT4018";"BILLETERA FINA C/VISOR";"41";"99";"99"
"AGHABT6009";"BILLETERA CUERO C/TARJ.FORRADA EN SEDA";"41";"99";"99"
"AGHABT6014";"BILLETERA CUERO MULTIPLE CALADO";"41";"99";"99"
"AGHABT6016";"BILLETERA CUERO 4 CALADO";"41";"99";"99"
"AGHACT11600BE";"CINTO BEIGE CASUAL URBANO";"34";"99";"99"
"AGHACT11600M";"CINTO MARRON CASUAL URBANO";"34";"99";"99"
"AGHACT11600MOFF";"FALLA MARRON CASUAL URBANO";"34";"99";"99"
"AGHACT11600N";"CINTO NGO CASUAL URBANO";"34";"99";"99"
"AGHACT11600SU";"CINTO SUELA CASUAL URBANO";"34";"99";"99"
"AGHACT11601SU";"CINTO SUELA URBANO C/TACHAS";"34";"99";"99"
"AGHACT11602N";"CINTO URBANO C/OJALILLOS";"34";"99";"99"
"AGHACT11603N";"CINTO URBANO GRABADO";"34";"99";"99"
"AGHACT11604N";"CINTO NGO URBANO ROMBO";"34";"99";"99"
"AGHACT11605M";"CINTO MARRON URBANO C/COSTURA";"34";"99";"99"
"AGHACT11605N";"CINTO URBANO C/COSTURAS";"34";"99";"99"
"AGHACT11606N";"CINTO NGO URBANO TROQ.COMP.";"34";"99";"99"
"AGHACT15001M";"CINTO MARRON";"34";"99";"99"
"AGHACT15001N";"CINTO NGO";"34";"99";"99"
"AGHACT15002N";"CINTO VESTIR P/40";"34";"99";"99"
"AGHACT15004N";"CINTO NEGRO VESTIR P35 EN CROCO";"34";"99";"99"
"AGHANC3000";"NECESER CUERO TIPO BAUL C/ABERTURA SUP.";"99";"99";"99"
"AGHJ314";"JEAN TIKEHAU";"01";"99";"99"
"AGHJ317";"JEAN NUKUHIVA";"01";"99";"99"
"AGHJ325";"JEAN ALEX O";"01";"99";"99"
"AGHJ331";"JEAN TETIAROA";"01";"99";"99"
"AGHJ332";"JEAN ACAMARU";"01";"99";"99"
"AGHJ333";"JEAN HANUAE";"01";"99";"99"
"AGHJ334";"JEAN VAHANGA NGO";"01";"99";"99"
"AGHJ335";"JEAN MEKIRO";"01";"99";"99"
"AGHJ336";"JEAN DIONICIO";"01";"99";"99"
"AGHJ354";"JEAN JONICO";"01";"99";"99"
"AGHJ363";"JEAN ISOFI";"01";"99";"99"
"AGHJ369";"JEAN OSORES";"01";"99";"99"
"AGHKZ166CB";"ZAPATO CAOBA JAMES CUERO PUNTA PICADA";"45";"20";"99"
"AGHKZ166N";"ZAPATO NGO JAMES CUERO PUNTA PICADA";"45";"20";"99"
"AGHP999";"JOGG VARIOS ALG RUS";"03";"99";"99"
"AGHPPA40AZ";"PANT.AZUL TARENTO CORTE CHINO";"02";"09";"99"
"AGHPPA40BE";"PANT.BEIGE (HUMAN) TARENTO CORTE CHINO";"02";"09";"99"
"AGHPPA40CQ";"PANT.CAQUI TARENTO CORTE CHINO";"02";"09";"99"
"AGHPPA40G";"PANT.GRIS TARENTO CORTE CHINO EST.JEAN";"02";"09";"99"
"AGHPPA40N";"PANT.NGO TARENTO CORTE CHINO";"02";"09";"99"
"AGHPPA40V";"PANT.VDE TARENTO CORTE CHINO";"02";"09";"99"
"AGHPPA40VM";"PANT.VDE MILITAR TARENTO CORTE CHINO";"02";"09";"99"
"AGIDCA1032";"CAMPERA EXCLUSIVA";"26";"99";"99"
"AGIHB05N";"BUZO NEGRO TIME OVERSIZE RED";"21";"99";"06"
"AGIHB05V";"BUZO VERDE TIME OVERSIZE RED";"21";"99";"06"
"AGIHBU999";"BUZO ESPARTANO BCO ALG RUS";"21";"99";"99"
"AGIHC389";"CAMISA M/L MATEO RAYAS CELESTE";"15";"03";"99"
"AGIHC396";"CAMISA M/L PIETRO RAYAS BLANCA";"15";"03";"99"
"AGIHC400C";"CAMI M/L LIAM BCA RAYAS CELESTE";"15";"03";"99"
"AGIHC400RS";"CAMI M/L PIETRO BCA RAYAS ROSA";"15";"03";"99"
"AGIHC400RSOFF";"FALLA CAMI M/L PIETRO BCA RAYAS ROSA";"15";"03";"99"
"AGIHC410AZ";"CAM.AZUL NOCHE LISA FRANCISCO";"15";"99";"99"
"AGIHC410B";"CAM.BCO LISA FRANCISCO";"15";"99";"99"
"AGIHC410RS";"CAM.ROSA LISA FRANCISCO";"15";"99";"99"
"AGIHC411";"CAM.JOAQUIN RAYAS COLOR M/L";"15";"03";"99"
"AGIHC412";"CAM.ANTONIO BCO RAYAS NGO M/L";"15";"03";"99"
"AGIHC414";"CAM.GERONIMO BCO RAYAS CELESTE M/L";"15";"03";"99"
"AGIHC433N";"CAMISA M/L ISMAEL NEGRO LISA";"15";"99";"99"
"AGIHC433NA";"CAMISA M/L ISMAEL NAVY AZUL LISA";"15";"99";"99"
